


   PHENOXYL PHENOL SYSTEM
   BASIS SET: 6-31G/QZSPDZD        O-O distance: 2.40
   All energies are in atomic units except the splitting
   H-H                                                             Unortho    Overlap     Vibronic
   dist (angs.)    NEO-NCI ST 1      NEO-NCI ST 2      NEO-RHF       H12        S12       Splitting (cm-1)
   ----------------------------------------------------------------------------------------------------------------

    0.5700	   -610.23133525	   -610.23132863	  -610.23133617	    -0.01145174	   0.000019	     1.454 
                         
    0.5600	   -610.23136660	   -610.23135843	  -610.23135494	    -0.01430728	   0.000023	     1.794 
                         
    0.5500	   -610.23137349	   -610.23136347	  -610.23137275	    -0.01777186	   0.000029	     2.201 
                         
    0.5400	   -610.23135671	   -610.23134446	  -610.23136134	    -0.02199892	   0.000036	     2.688 
                         
    0.5300	   -610.23131697	   -610.23130210	  -610.23131693	    -0.02707072	   0.000044	     3.265 
                         
    0.5200	   -610.23125503	   -610.23123705	  -610.23124078	    -0.03315705	   0.000054	     3.946 
                         
